bestAnswer,score
0,2.036195E-2
1,8.636198E-1
1,9.249598E-1
0,6.236392E-2
1,9.399938E-1
0,3.187036E-2
0,2.612116E-2
0,4.399416E-3
0,2.302613E-2
0,4.975714E-1
1,8.079472E-1
1,8.241202E-1
0,1.884315E-2
0,2.687988E-2
1,9.946698E-1
0,1.562723E-2
1,9.997914E-1
0,2.414786E-2
0,4.247717E-3
1,9.951231E-1
0,2.185918E-2
1,9.834228E-1
0,9.230785E-2
0,1.905423E-1
0,8.598016E-2
0,2.424101E-2
0,1.891351E-1
1,8.641416E-1
0,4.269886E-1
1,8.641416E-1
1,9.944173E-1
1,6.677336E-1
0,2.924732E-2
1,9.865593E-1
0,2.120745E-3
0,2.192531E-2
1,6.740866E-1
